cancer,edin,is_tumor
chr19_56379264+,0.917,True
chr19_56379264+,0.817,True
chr19_56379264+,0.754,True
chr19_56379264+,0.787,True
chr19_56379264+,0.782,True
chr19_56379264+,0.827,True
chr19_56379264+,0.915,True
chr19_56379264+,0.742,True
chr19_56379264+,0.903,True
chr19_56379264+,0.750,True
chr19_56379264+,0.939,True
chr19_56379264+,0.772,True
chr19_56379264+,0.873,True
chr19_56379264+,0.748,True
chr19_56379264+,0.829,True
chr19_56379264+,0.728,True
chr19_56379264+,0.778,True
chr19_56379264+,0.850,True
chr19_56379264+,0.924,True
chr19_56379264+,0.875,True
chr19_56379264+,0.752,True
chr19_56379264+,0.825,False
chr19_56379264+,0.768,True
chr19_56379264+,0.909,True
chr19_56379264+,0.714,True
chr19_56379264+,0.903,True
chr19_56379264+,0.791,False
chr19_56379264+,0.688,True
chr19_56379264+,0.638,False
chr19_56379264+,0.804,True
chr19_56379264+,0.752,True
chr19_56379264+,0.761,False
chr19_56379264+,0.896,True
chr19_56379264+,0.862,True
chr19_56379264+,0.837,False
chr19_56379264+,0.851,True
chr19_56379264+,0.735,False
chr19_56379264+,0.865,True
chr19_56379264+,0.875,False
chr19_56379264+,0.839,True
chr19_56379264+,0.871,False
chr19_56379264+,0.944,True
chr19_56379264+,0.862,True
chr19_56379264+,0.857,True
chr19_56379264+,0.775,True
chr19_56379264+,0.898,False
chr19_56379264+,0.824,True
chr19_56379264+,0.814,True
chr19_56379264+,0.783,False
chr19_56379264+,0.875,True
chr19_56379264+,0.899,True
chr19_56379264+,0.850,True
chr19_56379264+,0.811,True
chr19_56379264+,0.855,True
chr19_56379264+,0.824,True
chr19_56379264+,0.831,True
chr19_56379264+,0.754,True
chr19_56379264+,0.779,True
chr19_56379264+,0.750,True
chr19_56379264+,0.863,True
chr19_56379264+,0.679,True
chr19_56379264+,0.836,True
chr19_56379264+,0.837,True
chr19_56379264+,0.889,True
chr19_56379264+,0.786,True
chr19_56379264+,0.810,True
chr19_56379264+,0.818,True
chr19_56379264+,0.804,True
chr19_56379264+,0.794,True
chr19_56379264+,0.793,True
chr19_56379264+,0.814,True
chr19_56379264+,0.892,True
chr19_56379264+,0.726,True
chr19_56379264+,0.848,True
chr19_56379264+,0.719,True
chr19_56379264+,0.789,True
chr19_56379264+,0.856,True
chr19_56379264+,0.795,True
chr19_56379264+,0.883,True
chr19_56379264+,0.900,True
chr19_56379264+,0.946,True
chr19_56379264+,0.867,True
chr19_56379264+,0.825,True
chr19_56379264+,0.923,True
chr19_56379264+,0.893,True
chr19_56379264+,0.909,True
chr19_56379264+,0.901,True
chr19_56379264+,0.900,True
chr19_56379264+,0.806,True
chr19_56379264+,0.881,True
chr19_56379264+,0.655,True
chr19_56379264+,0.875,True
chr19_56379264+,0.792,True
chr19_56379264+,0.745,True
chr19_56379264+,0.850,True
