cancer,edin,is_tumor
chr10_100232551-,1.000,True
chr10_100232551-,0.979,True
chr10_100232551-,0.974,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.961,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.982,True
chr10_100232551-,1.000,True
chr10_100232551-,0.986,True
chr10_100232551-,0.962,True
chr10_100232551-,1.000,False
chr10_100232551-,0.979,True
chr10_100232551-,0.970,False
chr10_100232551-,0.989,True
chr10_100232551-,0.971,True
chr10_100232551-,0.984,True
chr10_100232551-,0.919,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.951,True
chr10_100232551-,1.000,True
chr10_100232551-,0.995,True
chr10_100232551-,1.000,True
chr10_100232551-,0.991,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.990,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.982,True
chr10_100232551-,1.000,True
chr10_100232551-,0.965,True
chr10_100232551-,1.000,True
chr10_100232551-,0.983,True
chr10_100232551-,0.981,True
chr10_100232551-,1.000,False
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.943,True
chr10_100232551-,0.944,False
chr10_100232551-,1.000,True
chr10_100232551-,0.966,False
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.989,True
chr10_100232551-,1.000,False
chr10_100232551-,0.989,True
chr10_100232551-,1.000,True
chr10_100232551-,0.968,True
chr10_100232551-,1.000,False
chr10_100232551-,1.000,True
chr10_100232551-,0.977,False
chr10_100232551-,1.000,False
chr10_100232551-,0.986,True
chr10_100232551-,0.971,True
chr10_100232551-,1.000,True
chr10_100232551-,0.930,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.991,True
chr10_100232551-,0.988,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.958,True
chr10_100232551-,0.948,True
chr10_100232551-,0.969,True
chr10_100232551-,0.969,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.981,True
chr10_100232551-,0.968,True
chr10_100232551-,1.000,True
chr10_100232551-,0.981,True
chr10_100232551-,0.986,True
chr10_100232551-,0.957,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.917,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.921,True
chr10_100232551-,0.980,True
chr10_100232551-,1.000,True
chr10_100232551-,0.962,True
chr10_100232551-,1.000,True
chr10_100232551-,0.983,True
chr10_100232551-,0.985,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.965,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.961,True
chr10_100232551-,0.951,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.971,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.986,True
chr10_100232551-,0.988,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.953,True
chr10_100232551-,0.966,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.982,True
chr10_100232551-,0.988,True
chr10_100232551-,0.971,True
chr10_100232551-,0.967,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.972,True
chr10_100232551-,0.961,True
chr10_100232551-,1.000,True
chr10_100232551-,0.978,True
chr10_100232551-,0.963,True
chr10_100232551-,0.972,True
chr10_100232551-,0.984,True
chr10_100232551-,1.000,True
chr10_100232551-,0.968,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.964,True
chr10_100232551-,0.986,True
chr10_100232551-,0.941,False
chr10_100232551-,0.951,True
chr10_100232551-,1.000,True
chr10_100232551-,0.977,True
chr10_100232551-,0.887,False
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.951,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.985,True
chr10_100232551-,0.907,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.987,True
chr10_100232551-,1.000,True
chr10_100232551-,0.970,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.989,True
chr10_100232551-,1.000,True
chr10_100232551-,1.000,True
chr10_100232551-,0.994,True
chr10_100232551-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,0.969,True
chr2_176200949-,0.958,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,False
chr2_176200949-,1.000,True
chr2_176200949-,1.000,False
chr2_176200949-,0.995,True
chr2_176200949-,0.914,True
chr2_176200949-,0.954,True
chr2_176200949-,1.000,True
chr2_176200949-,0.993,True
chr2_176200949-,1.000,True
chr2_176200949-,0.979,True
chr2_176200949-,0.985,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,0.991,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
chr2_176200949-,0.966,True
chr2_176200949-,1.000,True
chr2_176200949-,1.000,True
