site,cancer,edited,p50,tn
1,2,0.007352941176470588,0.0588,True
1,3,0.008159564823209429,0.0691,True
1,4,0.00980392156862745,0.0628,True
1,5,0.027777777777777776,0.0577,True
1,8,0.030864197530864196,0.0500,True
1,9,0.03571428571428571,0.0556,True
1,10,0.004,0.0801,True
1,12,0.003738317757009346,0.0117,True
1,16,0.00267379679144385,0.0556,True
1,18,0.006012024048096192,0.0556,True
2,18,0.02040816326530612,0.0448,False
1,19,0.011627906976744186,0.0480,True
1,20,0.021108179419525065,0.0667,True
1,23,0.006,0.0628,True
2,23,0.019230769230769232,0.0693,False
1,25,0.0076045627376425855,0.0714,True
1,26,0.0021231422505307855,0.0500,True
1,27,0.018666666666666668,0.0521,True
1,29,0.005893909626719057,0.0556,True
1,31,0.0018248175182481751,0.0682,True
3,2,0.004901960784313725,0.0625,True
3,3,0.004533091568449683,0.0606,True
3,4,0.006535947712418301,0.0556,True
3,6,0.007142857142857143,0.0833,True
3,8,0.037037037037037035,0.0714,True
4,8,0.09090909090909091,0.0556,False
3,10,0.002,0.0513,True
3,12,0.009345794392523364,0.0164,True
3,14,0.013245033112582781,0.0834,True
3,15,0.001890359168241966,0.0588,True
3,16,0.00267379679144385,0.0769,True
4,17,0.01694915254237288,0.1000,False
3,18,0.002004008016032064,0.0556,True
3,20,0.0079155672823219,0.0357,True
3,21,0.0056179775280898875,0.0528,True
3,22,0.00546448087431694,0.0833,True
3,23,0.004,0.0588,True
3,25,0.0076045627376425855,0.0813,True
3,26,0.004246284501061571,0.0833,True
3,27,0.024,0.0667,True
4,27,0.03125,0.0667,False
3,29,0.0019646365422396855,0.0667,True
3,31,0.0036496350364963502,0.0588,True
