site,cancer,edited,p50
7,1,0.9873417721518988,0.2608
7,2,0.9975490196078431,0.3657
7,3,0.9891205802357208,0.5230
7,4,0.9934640522875817,0.4038
7,5,1.0,0.4035
7,6,0.9928571428571429,0.2751
7,7,1.0,0.3022
7,8,1.0,0.5000
7,9,1.0,0.4219
7,10,0.982,0.4428
7,11,0.9692307692307692,0.1600
7,12,0.9364485981308411,0.4211
7,13,1.0,0.2857
7,14,0.9470198675496688,0.2800
7,15,1.001890359168242,0.3096
7,16,0.983957219251337,0.4944
7,17,0.9867172675521821,0.4236
7,18,0.9919839679358717,0.3830
7,19,0.9534883720930233,0.4477
7,20,1.0,0.5493
7,21,1.0,0.3814
7,22,0.994535519125683,0.4197
7,23,0.994,0.3564
7,24,1.0108695652173914,0.2373
7,25,1.0,0.4198
7,26,0.9957537154989384,0.3868
7,27,0.9866666666666667,0.5116
7,28,1.0,0.4312
7,29,0.9960707269155207,0.4111
7,30,1.0,0.2561
7,31,0.9817518248175182,0.4725
7,32,1.0,0.3602
7,33,0.925,0.2222
8,1,0.9746835443037974,0.3619
8,2,0.9852941176470589,0.4751
8,3,0.9927470534904805,0.6311
8,4,0.9836601307189542,0.4952
8,5,1.0,0.6384
8,6,0.9857142857142858,0.4060
8,7,0.9375,0.3256
8,8,1.0,0.6078
8,9,1.0,0.5398
8,10,0.976,0.5286
8,11,0.9846153846153847,0.2429
8,12,0.9925233644859813,0.6500
8,13,0.9965397923875432,0.4989
8,14,0.9801324503311258,0.2570
8,15,1.001890359168242,0.4534
8,16,0.9491978609625669,0.7857
8,17,0.9791271347248577,0.6346
8,18,1.0,0.5052
8,19,0.9534883720930233,0.6684
8,20,0.9973614775725593,0.6462
8,21,1.0,0.5447
8,22,0.9890710382513661,0.5600
8,23,0.994,0.4353
8,24,1.0108695652173914,0.3333
8,25,0.9885931558935361,0.5385
8,26,0.9851380042462845,0.4745
8,27,0.992,0.6262
8,28,0.9615384615384616,0.4091
8,29,0.9941060903732809,0.5116
8,30,0.9327731092436975,0.3813
8,31,0.948905109489051,0.4386
8,32,0.9642857142857143,0.3722
8,33,0.85,0.4069
10,1,0.9873417721518988,0.4209
10,2,0.9950980392156863,0.5122
10,3,0.9972801450589301,0.7026
10,4,0.9967320261437909,0.5766
10,5,1.0,0.6702
10,6,0.9821428571428571,0.4795
10,7,0.9791666666666666,0.3775
10,8,1.0,0.6238
10,9,1.0,0.5651
10,10,0.996,0.5408
10,11,0.9692307692307692,0.3077
10,12,0.994392523364486,0.6859
10,13,0.9965397923875432,0.4286
10,14,0.32450331125827814,0.2778
10,15,1.0,0.5000
10,16,1.0,0.8009
10,17,0.9791271347248577,0.6390
10,18,1.0,0.5914
10,19,0.9534883720930233,0.6357
10,20,1.0,0.6235
10,21,1.0,0.5462
10,22,0.9890710382513661,0.5625
10,23,1.0,0.4224
10,24,1.0108695652173914,0.4673
10,25,1.0,0.5306
10,26,0.9787685774946921,0.5257
10,27,0.96,0.6020
10,28,0.9807692307692307,0.5741
10,29,0.9980353634577603,0.5136
10,30,1.0,0.4211
10,31,0.9708029197080292,0.5144
10,32,1.0,0.4360
10,33,0.8625,0.5000
3,1,1.0,0.3092
3,2,0.9950980392156863,0.2514
3,3,1.0,0.3766
3,4,0.9967320261437909,0.2927
3,5,1.0,0.3004
3,6,0.9964285714285714,0.3077
3,7,0.9583333333333334,0.2421
3,8,1.0,0.3518
3,9,1.0,0.3664
3,10,0.998,0.3333
3,11,0.9846153846153847,0.2188
3,12,0.9962616822429906,0.3769
3,13,0.9965397923875432,0.2800
3,14,0.9801324503311258,0.3043
3,15,1.0,0.3906
3,16,1.0,0.3288
3,17,0.9962049335863378,0.3462
3,18,1.0,0.3541
3,19,0.9534883720930233,0.3358
3,20,1.0,0.4101
3,21,1.0,0.2917
3,22,0.994535519125683,0.2673
3,23,1.0,0.3208
3,24,1.0108695652173914,0.2977
3,25,0.9961977186311787,0.3545
3,26,0.9957537154989384,0.3520
3,27,0.9946666666666667,0.3704
3,28,0.9935897435897436,0.2451
3,29,0.9960707269155207,0.2788
3,30,1.0,0.2689
3,31,0.9799270072992701,0.2519
3,32,1.0,0.2793
3,33,1.0,0.2600
5,1,0.9873417721518988,0.2561
5,2,0.9828431372549019,0.1957
5,3,0.9981867633726201,0.3165
5,4,0.9934640522875817,0.2297
5,5,1.0,0.2569
5,6,0.9892857142857143,0.2564
5,7,0.9583333333333334,0.1484
5,8,1.0,0.3329
5,9,1.0,0.3481
5,10,0.986,0.2618
5,11,0.9692307692307692,0.2072
5,12,0.9962616822429906,0.3219
5,13,0.986159169550173,0.2258
5,14,0.9735099337748344,0.2500
5,15,1.0,0.3506
5,16,1.0,0.2724
5,17,0.9924098671726755,0.2775
5,18,0.9979959919839679,0.3125
5,19,0.9534883720930233,0.2470
5,20,1.0,0.3877
5,21,1.0,0.2361
5,22,0.994535519125683,0.2355
5,23,0.996,0.2345
5,24,1.0108695652173914,0.2326
5,25,0.9923954372623575,0.2717
5,26,0.9936305732484076,0.2730
5,27,0.9946666666666667,0.3411
5,28,0.9871794871794872,0.2110
5,29,0.9921414538310412,0.2325
5,30,0.9747899159663865,0.2015
5,31,0.9708029197080292,0.2182
5,32,1.0,0.2208
5,33,0.975,0.1875
4,1,1.0,0.3256
4,2,0.9975490196078431,0.2475
4,3,0.9963735267452403,0.3070
4,4,0.9934640522875817,0.2881
4,5,1.0,0.2664
4,6,0.975,0.3511
4,7,1.0,0.2951
4,8,1.0,0.3592
4,9,1.0,0.3843
4,10,1.0,0.3166
4,11,0.9846153846153847,0.3333
4,12,0.9981308411214953,0.3087
4,13,0.9965397923875432,0.3077
4,14,0.9602649006622517,0.4583
4,15,1.0,0.4512
4,16,1.0,0.2604
4,17,0.9829222011385199,0.2812
4,18,1.0,0.3571
4,19,0.9534883720930233,0.2879
4,20,1.0,0.4050
4,21,1.0,0.2763
4,22,1.0,0.2553
4,23,1.0,0.3111
4,24,1.0108695652173914,0.3542
4,25,0.9961977186311787,0.3429
4,26,0.9957537154989384,0.3220
4,27,0.9946666666666667,0.3548
4,28,0.9743589743589743,0.2066
4,29,0.9980353634577603,0.2681
4,30,1.0,0.2727
4,31,0.9525547445255474,0.2015
4,32,1.0,0.2996
4,33,0.9375,0.2692
6,1,1.0,0.2857
6,2,0.9926470588235294,0.2101
6,3,0.9936536718041704,0.2742
6,4,0.9901960784313726,0.2514
6,5,1.0,0.2814
6,6,0.9714285714285714,0.2762
6,7,0.9791666666666666,0.2397
6,8,1.0,0.2920
6,9,1.0,0.3138
6,10,0.998,0.2650
6,11,0.9692307692307692,0.2534
6,12,0.994392523364486,0.2542
6,13,1.0,0.2600
6,14,0.9403973509933775,0.2929
6,15,1.0,0.4000
6,16,0.9973262032085561,0.2750
6,17,0.9848197343453511,0.2673
6,18,1.0,0.2947
6,19,0.9534883720930233,0.2471
6,20,1.0,0.3194
6,21,1.0,0.2544
6,22,1.0,0.3030
6,23,0.996,0.2461
6,24,1.0108695652173914,0.2692
6,25,1.0,0.2857
6,26,0.9957537154989384,0.2662
