cancer,edin
chr10_100232551-,0.985
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.995
chr10_100232551-,0.966
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.990
chr10_100232551-,1.000
chr10_100232551-,0.975
chr10_100232551-,0.976
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.992
chr10_100232551-,0.968
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.977
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.980
chr10_100232551-,1.000
chr10_100232551-,0.934
chr10_100232551-,1.000
chr10_100232551-,0.986
chr10_100232551-,1.000
chr10_100232551-,0.969
chr10_100232551-,0.989
chr10_100232551-,1.000
chr10_100232551-,0.986
chr10_100232551-,0.970
chr10_100232551-,1.000
chr10_100232551-,0.982
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.978
chr10_100232551-,0.981
chr10_100232551-,0.990
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.988
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.990
chr10_100232551-,1.000
chr10_100232551-,0.966
chr10_100232551-,1.000
chr10_100232551-,0.978
chr10_100232551-,0.981
chr10_100232551-,0.981
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.976
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.984
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.990
chr10_100232551-,1.000
chr10_100232551-,0.981
chr10_100232551-,0.984
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.971
chr10_100232551-,0.978
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.992
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.981
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.986
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.973
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.991
chr10_100232551-,1.000
chr10_100232551-,0.986
chr10_100232551-,1.000
chr10_100232551-,0.991
chr10_100232551-,0.926
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.990
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.921
chr10_100232551-,0.900
chr10_100232551-,0.979
chr10_100232551-,1.000
chr10_100232551-,0.975
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.980
chr10_100232551-,0.987
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.982
chr10_100232551-,0.986
chr10_100232551-,0.977
chr10_100232551-,0.980
chr10_100232551-,0.985
chr10_100232551-,0.964
chr10_100232551-,0.930
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.977
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.969
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.985
chr10_100232551-,0.966
chr10_100232551-,1.000
chr10_100232551-,0.970
chr10_100232551-,1.000
chr10_100232551-,0.980
chr10_100232551-,1.000
chr10_100232551-,0.990
chr10_100232551-,0.984
chr10_100232551-,1.000
chr10_100232551-,0.977
chr10_100232551-,1.000
chr10_100232551-,0.980
chr10_100232551-,0.988
chr10_100232551-,0.986
chr10_100232551-,0.974
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.984
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.967
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.964
chr10_100232551-,0.990
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.981
chr10_100232551-,1.000
chr10_100232551-,0.984
chr10_100232551-,0.991
chr10_100232551-,0.971
chr10_100232551-,0.935
chr10_100232551-,0.977
chr10_100232551-,1.000
chr10_100232551-,0.938
chr10_100232551-,1.000
chr10_100232551-,0.950
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.976
chr10_100232551-,0.962
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.983
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.960
chr10_100232551-,1.000
chr10_100232551-,0.981
chr10_100232551-,1.000
chr10_100232551-,0.949
chr10_100232551-,1.000
chr10_100232551-,0.968
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.987
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.941
chr10_100232551-,0.943
chr10_100232551-,0.989
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.966
chr10_100232551-,1.000
chr10_100232551-,0.985
chr10_100232551-,0.962
chr10_100232551-,0.959
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.933
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.963
chr10_100232551-,0.958
chr10_100232551-,1.000
chr10_100232551-,0.978
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.970
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.987
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.980
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.984
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.918
chr10_100232551-,1.000
chr10_100232551-,0.976
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.976
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.976
chr10_100232551-,1.000
chr10_100232551-,0.974
chr10_100232551-,1.000
chr10_100232551-,0.978
chr10_100232551-,0.971
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,1.000
chr10_100232551-,0.941
chr10_100232551-,1.000
chr10_100232551-,0.977
chr10_100232551-,1.000
